bike_count,temperature,humidity,wind_speed,visibility,dew_point_temp,solar_radiation,rainfall,snowfall
4290,-1.2833333333333334,39.333333333333336,1.4541666666666666,1894.8333333333333,-13.866666666666667,0.25583333333333336,0,0
5377,-3.8666666666666663,44,1.6083333333333334,1923.625,-15.0125,0.33708333333333335,0,0.9041666666666668
5132,0.45,64.20833333333333,3.5541666666666667,1084,-6.3875,0.7475,0.10416666666666669,0
3231,22.025,93.45833333333331,0.7833333333333333,933.7916666666666,20.833333333333332,0.08708333333333333,3.375,0
6446,-1.4916666666666667,43.708333333333336,1.7666666666666666,1712.2083333333333,-13.345833333333331,0.22333333333333333,0,0
5240,22.4375,95.41666666666669,0.7958333333333333,1055.4583333333333,21.583333333333332,0.19708333333333333,2.5625,0
6512,-4.479166666666667,41.166666666666664,2.125,1945.1666666666667,-15.879166666666666,0.2733333333333333,0,0
6453,-4.8,44.125,1.375,1825.3333333333333,-15.379166666666666,0.19708333333333333,0,0
6967,-2.9125,48.541666666666664,1.6583333333333334,1434.2083333333333,-12.341666666666669,0.24833333333333332,0,0
4522,17.095833333333335,81.33333333333333,1.7708333333333333,1318.3333333333333,13.508333333333333,0.11416666666666668,1.4791666666666667,0
5180,-2.7541666666666664,45.666666666666664,1.4791666666666667,1561.8333333333333,-13.383333333333333,0.28291666666666665,0,0
3988,-10.008333333333333,35.541666666666664,3.1791666666666667,1956.0833333333333,-22.575,0.58875,0,0
6669,0.0458333333333333,70.79166666666667,0.6958333333333333,1186.875,-5.1875,0.25583333333333336,0.05416666666666667,0.35833333333333334
4697,-8.325,40,1.6166666666666667,1831,-20.358333333333334,0.5579166666666667,0,0
5711,1.4208333333333334,49.333333333333336,1.75,1148.9583333333333,-8.6,0.09958333333333332,0.0375,0.1875
5613,-4.5875,44.75,1.2,1643.875,-15.508333333333333,0.54375,0,0
6666,3.8125,56.958333333333336,1.7333333333333334,1578.9166666666667,-4.8625,0.3304166666666667,0.125,0
1721,11.7125,91.54166666666669,1.8833333333333333,866.0833333333334,10.283333333333331,0.05458333333333333,1.9166666666666667,0
6191,21.020833333333332,79.625,1.0875,1718.4583333333333,17.09166666666667,0.16666666666666666,0.3541666666666667,0
4161,-7.033333333333333,54.208333333333336,2.933333333333333,1860.625,-15.2125,0.28541666666666665,0.03333333333333333,0.425
3453,1.1916666666666669,69.70833333333333,2.004166666666667,1043.0416666666667,-4.033333333333333,0.08666666666666667,0.17083333333333334,1.3541666666666667
4017,-10.766666666666667,49.875,2.6375,1828.125,-19.320833333333333,0.2833333333333333,0,0
2850,-5.9875,40.541666666666664,2.7,1963.7916666666667,-17.77916666666667,0.5108333333333334,0,0
